隊	队	duì	squadron/team/group/CL:個|个[gè]
中國人民武裝警察部隊	中国人民武装警察部队	Zhōng guó Rén mín Wǔ zhuāng Jǐng chá Bù duì	Chinese People's Armed Police Force (PAP, aka CAPF)
主隊	主队	zhǔ duì	host team (at sports event)/host side
交響樂隊	交响乐队	jiāo xiǎng yuè duì	symphony orchestra
代表隊	代表队	dài biǎo duì	delegation
保安部隊	保安部队	bǎo ān bù duì	security forces
儀仗隊	仪仗队	yí zhàng duì	honor guard/guard of honor/the banner bearing contingent leading a military procession
先遣隊	先遣队	xiān qiǎn duì	advance party/advance troops
先鋒隊	先锋队	xiān fēng duì	vanguard
兵隊	兵队	bīng duì	troops
分隊	分队	fēn duì	military platoon or squad
列隊	列队	liè duì	in formation (military)
別動隊	别动队	bié dòng duì	special detachment/commando/an armed secret agent squad
北海艦隊	北海舰队	Běi hǎi Jiàn duì	North Sea Fleet
南海艦隊	南海舰队	Nán hǎi Jiàn duì	South Sea Fleet
和平隊	和平队	Hé píng duì	(U.S.) Peace Corps
商隊	商队	shāng duì	caravan
啦啦隊	啦啦队	lā lā duì	cheerleading squad
啦啦隊長	啦啦队长	lā lā duì zhǎng	cheerleader
國家隊	国家队	guó jiā duì	the national team
國民警衛隊	国民警卫队	Guó mín Jǐng wèi duì	National Guard (United States)
國民黨軍隊	国民党军队	guó mín dǎng jūn duì	nationalist forces
國隊	国队	guó duì	national team
國際米蘭隊	国际米兰队	Guó jì Mǐ lán Duì	FC Internazionale Milano (football club)/abbr. for 國際米蘭足球俱樂部|国际米兰足球俱乐部[Guó jì Mǐ lán Zú qiú Jù lè bù]
團隊	团队	tuán duì	team
團隊精神	团队精神	tuán duì jīng shén	group mentality/collectivism/solidarity/team spirit
地主隊	地主队	dì zhǔ duì	home team (sports)
地面部隊	地面部队	dì miàn bù duì	ground troops
大隊	大队	dà duì	group/a large body of/production brigade/military group
客隊	客队	kè duì	visiting team (sports)
少先隊	少先队	Shào Xiān duì	Young Pioneers of China, abbr. for 少年先鋒隊|少年先锋队[Shào nián Xiān fēng duì]
少年先鋒隊	少年先锋队	Shào nián Xiān fēng duì	Young Pioneers of China (primary school league, a preparation for Communist Youth League)/abbr. to 少先隊|少先队
巡邏隊	巡逻队	xún luó duì	(army, police) patrol
工作隊	工作队	gōng zuò duì	a working group/a task force
弦樂隊	弦乐队	xián yuè duì	string orchestra
強隊	强队	qiáng duì	a powerful team (sports)
憲兵隊	宪兵队	Xiàn bīng duì	the Kempeitai or Japanese Military Police 1881-1945 (Japanese counterpart of the Gestapo during WWII)
成群結隊	成群结队	chéng qún jié duì	making up a group, forming a troupe (idiom); in large numbers/as a large crowd
拉拉隊	拉拉队	lā lā duì	cheerleading squad/also written 啦啦隊|啦啦队
掉隊	掉队	diào duì	to fall behind/to drop out
排起長隊	排起长队	pái qǐ cháng duì	to form a long line (i.e. of people waiting)
排隊	排队	pái duì	to line up
插隊	插队	chā duì	to cut in line/to jump a queue/to live on a rural community (during the Cultural Revolution)
搜索隊	搜索队	sōu suǒ duì	search party
支隊	支队	zhī duì	detachment (of troops)
救援隊	救援队	jiù yuán duì	rescue team
救生隊	救生队	jiù shēng duì	rescue team/CL:支[zhī]
敢死隊	敢死队	gǎn sǐ duì	suicide squad/kamikaze unit
整隊	整队	zhěng duì	to dress (troops)/to line up (to arrange in a straight line)
曼城隊	曼城队	Màn chéng duì	Manchester City football team
替補隊員	替补队员	tì bǔ duì yuán	substitute player/reserve player
東海艦隊	东海舰队	Dōng hǎi Jiàn duì	East Sea Fleet
梯次隊形	梯次队形	tī cì duì xíng	echelon formation (military)
梯隊	梯队	tī duì	echelon (military)/(of an organisation) group of persons of one level or grade
樂隊	乐队	yuè duì	band/pop group/CL:支[zhī]
橫隊	横队	héng duì	row/horizontal troop formation
武裝部隊	武装部队	wǔ zhuāng bù duì	armed forces
武警部隊	武警部队	wǔ jǐng bù duì	People's Armed Police
歸隊	归队	guī duì	to return to one's unit/to go back to one's station in life
洋基隊	洋基队	Yáng jī duì	New York Yankees (US baseball team)
海岸警衛隊	海岸警卫队	hǎi àn jǐng wèi duì	coastguard
海岸護衛隊	海岸护卫队	hǎi àn hù wèi duì	coast guard
海豹部隊	海豹部队	hǎi bào bù duì	United States Navy SEALs
海軍陸戰隊	海军陆战队	hǎi jūn lù zhàn duì	marine corps/marines
消息隊列	消息队列	xiāo xi duì liè	message queue (computing)
消防隊	消防队	xiāo fáng duì	fire brigade/fire department
消防隊員	消防队员	xiāo fáng duì yuán	fireman
清理隊伍	清理队伍	qīng lǐ duì wǔ	to purge the ranks
清隊	清队	qīng duì	to purge the ranks
漁船隊	渔船队	yú chuán duì	fishing fleet
火場留守分隊	火场留守分队	huǒ chǎng liú shǒu fēn duì	detachment left to provide covering fire
特種部隊	特种部队	tè zhǒng bù duì	(military) special forces
狗仔隊	狗仔队	gǒu zǎi duì	paparazzi
球隊	球队	qiú duì	sports team (basketball, soccer, football etc)
生產隊	生产队	shēng chǎn duì	production team
男孩樂隊	男孩乐队	nán hái yuè duì	boy band (type of pop group)
督察大隊	督察大队	dū chá dà duì	censorship brigade (PRC)
神風特攻隊	神风特攻队	shén fēng tè gōng duì	kamikaze unit (Japanese corps of suicide pilots in World War II)
神風突擊隊	神风突击队	shén fēng tū jī duì	kamikaze unit (Japanese corps of suicide pilots in World War II)
科考隊	科考队	kē kǎo duì	scientific exploration team/expedition
突擊隊	突击队	tū jī duì	commando unit
突擊隊員	突击队员	tū jī duì yuán	commando
第五縱隊	第五纵队	dì wǔ zòng duì	fifth column (subversive group)
管弦樂隊	管弦乐队	guǎn xián yuè duì	orchestra
組隊	组队	zǔ duì	to team up (with)/to put a team together
結隊	结队	jié duì	to troop (of soldiers etc)/convoy
結隊成群	结队成群	jié duì chéng qún	to form a large group (idiom)
編隊	编队	biān duì	to form into columns/to organize into teams/formation (of ships or aircraft)
縱隊	纵队	zòng duì	column/file/CL:列[liè],路[lù]
美國海岸警衛隊	美国海岸警卫队	Měi guó Hǎi àn Jǐng wèi duì	United States Coast Guard
考察隊	考察队	kǎo chá duì	investigation team/scientific expedition
聯合艦隊	联合舰队	lián hé jiàn duì	combined fleet
聯隊	联队	lián duì	wing (of an air force)/sports team representing a combination of entities (e.g. United Korea)
自衛隊	自卫队	zì wèi duì	self-defense force/the Japanese armed forces
航空自衛隊	航空自卫队	háng kōng zì wèi duì	air self-defense force
船隊	船队	chuán duì	fleet (of ships)
艦隊	舰队	jiàn duì	fleet/CL:支[zhī]
行刑隊	行刑队	xíng xíng duì	firing squad
衛隊	卫队	wèi duì	guard (i.e. group of soldiers)
親衛隊	亲卫队	Qīn wèi duì	SS or Schutzstaffel, paramilitary organization in Nazi Germany
誰人樂隊	谁人乐队	Shéi rén yuè duì	The Who (1960s UK rock band)
貼身衛隊	贴身卫队	tiē shēn wèi duì	personal bodyguard
赤衛隊	赤卫队	Chì wèi duì	Red Guards
足球隊	足球队	zú qiú duì	soccer team
車隊	车队	chē duì	motorcade/fleet/CL:列[liè]
軍樂隊	军乐队	jūn yuè duì	brass band
軍隊	军队	jūn duì	army/troops/CL:支[zhī],個|个[gè]
連隊	连队	lián duì	company (of troops)
遊擊隊	游击队	yóu jī duì	guerrilla band
部隊	部队	bù duì	army/armed forces/troops/force/unit/CL:個|个[gè]
長隊	长队	cháng duì	line (i.e. of people waiting)/queue
不怕神一樣的對手，就怕豬一樣的隊友	不怕神一样的对手，就怕猪一样的队友	bù pà shén yī yàng de duì shǒu , jiù pà zhū yī yàng de duì yǒu	a boneheaded teammate can do you more harm than the most formidable opponent (idiom)
隊伍	队伍	duì wǔ	ranks/troops/queue/line/procession/CL:個|个[gè],支[zhī],條|条[tiáo]
隊列	队列	duì liè	formation (of troops)/alignment/(computing) queue/cohort (in a study)
隊友	队友	duì yǒu	member of same class, team, work group etc/teammate
隊員	队员	duì yuán	team member
隊尾	队尾	duì wěi	back of the line/last one in line
隊形	队形	duì xíng	formation
隊旗	队旗	duì qí	team pennant
隊服	队服	duì fú	team uniform
隊部	队部	duì bù	office/headquarters
隊長	队长	duì zhǎng	captain/team leader/CL:個|个[gè]
離隊	离队	lí duì	to leave one's post
領隊	领队	lǐng duì	to lead a group/leader of a group/captain (of sports squad)
飛虎隊	飞虎队	fēi hǔ duì	Flying Tigers, US airmen in China during World War Two/Hong Kong nickname for police special duties unit
馬隊	马队	mǎ duì	cavalry/caravan of horses carrying goods
騎警隊	骑警队	qí jǐng duì	mounted police detachment (on horse or motorbike)
體操隊	体操队	tǐ cāo duì	gymnastics team
