腫	肿	zhǒng	to swell/swelling/swollen
又紅又腫	又红又肿	yòu hóng yòu zhǒng	to be red and swollen (idiom)
囊腫	囊肿	náng zhǒng	cyst (med.)
國際腫瘤研究機構	国际肿瘤研究机构	Guó jì Zhōng liú Yán jiū Jī gòu	International Agency for Research on Cancer (IARC)
惡性腫瘤	恶性肿瘤	è xìng zhǒng liú	malignant tumor
打腫臉充胖子	打肿脸充胖子	dǎ zhǒng liǎn chōng pàng zi	lit. to swell one's face up by slapping it to look imposing (idiom); to seek to impress by feigning more than one's abilities
攝護腺腫大	摄护腺肿大	shè hù xiàn zhǒng dà	benign prostate hypertrophy/enlargement of prostate
水腫	水肿	shuǐ zhǒng	(med.) edema/dropsy
浮腫	浮肿	fú zhǒng	swollen/bloated/edema/dropsy
浮腫病	浮肿病	fú zhǒng bìng	edema (accumulation of interstitial fluids in internal organs)/dropsy
消腫	消肿	xiāo zhǒng	to reduce swelling/detumescence/(fig.) to streamline (a bloated bureaucracy etc)
甲狀腺腫	甲状腺肿	jiǎ zhuàng xiàn zhǒng	goiter (enlargement of thyroid gland)
眼皮哭腫	眼皮哭肿	yǎn pí kū zhǒng	to have eyelids swollen from crying/very unhappy (idiom)
紅腫	红肿	hóng zhǒng	inflamed/red and swollen
肺氣腫	肺气肿	fèi qì zhǒng	emphysema
肺水腫	肺水肿	fèi shuǐ zhǒng	pulmonary edema
腦水腫	脑水肿	nǎo shuǐ zhǒng	cerebral edema
腦腫瘤	脑肿瘤	nǎo zhǒng liú	brain tumor
中度性肺水腫	中度性肺水肿	zhōng dù xìng fèi shuǐ zhǒng	toxic pulmonary edema
腫塊	肿块	zhǒng kuài	swelling/growth/tumor/lump
腫大	肿大	zhǒng dà	swelling/enlargement/hypertrophy
腫瘤	肿瘤	zhǒng liú	tumor
腫瘤切除術	肿瘤切除术	zhǒng liú qiè chú shù	lumpectomy
腫瘤學	肿瘤学	zhǒng liú xué	oncology/study of tumors
腫瘤病醫生	肿瘤病医生	zhǒng liú bìng yī shēng	oncologist (medicine)
腫脹	肿胀	zhǒng zhàng	swelling/oedema/internal bruising
腫麼	肿么	zhǒng me	Internet slang for 怎麼|怎么[zěn me]
膕窩囊腫	腘窝囊肿	guó wō náng zhǒng	Baker's cyst or popliteal cyst (medicine)
膿腫	脓肿	nóng zhǒng	abscess
臃腫	臃肿	yōng zhǒng	obese/bloated/swollen (style)/(fig.) (of an organization) oversized or overstaffed
良性腫瘤	良性肿瘤	liáng xìng zhǒng liú	benign tumor
血腫	血肿	xuè zhǒng	hematoma/swelling of soft tissue due to internal hemorrhage
霰粒腫	霰粒肿	xiàn lì zhǒng	chalazion
青腫	青肿	qīng zhǒng	bruise
麥粒腫	麦粒肿	mài lì zhǒng	sty (eyelid swelling)
鼻青眼腫	鼻青眼肿	bí qīng yǎn zhǒng	a black eye (idiom); serious injury to the face/fig. a setback/a defeat
鼻青臉腫	鼻青脸肿	bí qīng liǎn zhǒng	a bloody nose and a swollen face/badly battered
齦膿腫	龈脓肿	yín nóng zhǒng	gumboil
