煉	炼	liàn	to refine/to smelt
修煉成仙	修炼成仙	xiū liàn chéng xiān	lit. to practice austerities to become a Daoist immortal/practice makes perfect
冶煉	冶炼	yě liàn	to smelt metal
冶煉爐	冶炼炉	yě liàn lú	a furnace for smelting metal
凝煉	凝炼	níng liàn	variant of 凝練|凝练[níng liàn]
提煉	提炼	tí liàn	to extract (ore, minerals etc)/to refine/to purify/to process
洗煉	洗炼	xǐ liàn	variant of 洗練|洗练[xǐ liàn]
炮煉	炮炼	páo liàn	to parch and refine medicinal herbs
煅煉	煅炼	duàn liàn	to forge/to toughen/to temper
修煉	修炼	xiū liàn	(of Taoists) to practice austerities/to practice asceticism
煉丹	炼丹	liàn dān	to concoct pills of immortality
煉丹八卦爐	炼丹八卦炉	liàn dān bā guà lú	eight trigrams furnace to cook pills of immortality/symbol of the alchemist's art/Double, double toil and trouble, Fire burn, and cauldron bubble
煉丹術	炼丹术	liàn dān shù	maker of immortality pill/concocting magic pills
煉之未定	炼之未定	liàn zhī wèi dìng	to spend a long time thinking about sth while unable to reach a decision
煉乳	炼乳	liàn rǔ	to condense milk (by evaporation)/condensed milk
煉化	炼化	liàn huà	to refine/refining (e.g. oil, chemicals etc)
煉句	炼句	liàn jù	to polish a phrase
煉奶	炼奶	liàn nǎi	condensed milk
煉字	炼字	liàn zì	to craft one's words
煉油	炼油	liàn yóu	oil refinery
煉油廠	炼油厂	liàn yóu chǎng	oil refinery
煉焦	炼焦	liàn jiāo	coking/the process of producing coke from coal
煉焦爐	炼焦炉	liàn jiāo lú	coking furnace
煉獄	炼狱	liàn yù	purgatory
煉珍	炼珍	liàn zhēn	a delicacy (food)
煉製	炼制	liàn zhì	(chemistry) to refine
煉金術	炼金术	liàn jīn shù	alchemy
煉金術士	炼金术士	liàn jīn shù shì	alchemist
煉鋼	炼钢	liàn gāng	steelmaking
煉鋼廠	炼钢厂	liàn gāng chǎng	steel mill
煉鐵	炼铁	liàn tiě	smelting iron
煉鐵廠	炼铁厂	liàn tiě chǎng	iron foundry
熔煉	熔炼	róng liàn	to smelt
百煉成鋼	百炼成钢	bǎi liàn chéng gāng	to be tempered into a steel
百煉鋼	百炼钢	bǎi liàn gāng	high-grade well-tempered steel
真金不怕火煉	真金不怕火炼	zhēn jīn bù pà huǒ liàn	True gold fears no fire. (idiom)
磨煉	磨炼	mó liàn	see 磨練|磨练[mó liàn]
簡煉	简炼	jiǎn liàn	variant of 簡練|简练[jiǎn liàn]
精煉	精炼	jīng liàn	to refine (a substance)/to purify/to refine (one's skills, writing etc)/refined/polished/succinct/skilled/capable
精煉廠	精炼厂	jīng liàn chǎng	refinery (of oil etc)
試煉	试炼	shì liàn	to refine with fire
體育鍛煉	体育锻炼	tǐ yù duàn liàn	physical exercise
