範	范	fàn	pattern/model/example
中等師範學校	中等师范学校	zhōng děng shī fàn xué xiào	secondary normal school (secondary school that trains kindergarten and elementary school teachers)
典範	典范	diǎn fàn	model/example/paragon
勞動模範	劳动模范	láo dòng mó fàn	model worker
北京師範大學	北京师范大学	Běi jīng Shī fàn Dà xué	Beijing Normal University
大範圍	大范围	dà fàn wéi	large-scale
尋來範疇	寻来范畴	xún lái fàn chóu	(math.) derived category
小範圍	小范围	xiǎo fàn wéi	small-scale/local/to a limited extent
就範	就范	jiù fàn	to submit/to give in
師範	师范	shī fàn	teacher-training/pedagogical/normal (school, e.g. Beijing Normal University)
師範大學	师范大学	shī fàn dà xué	normal university/teacher training college
師範學院	师范学院	shī fàn xué yuàn	teacher's college/normal school
技術規範	技术规范	jì shù guī fàn	technical specification
授權範圍	授权范围	shòu quán fàn wéi	scope of authority/mandate
模範	模范	mó fàn	model/fine example
湛江師範學院	湛江师范学院	Zhàn jiāng Shī fàn Xué yuàn	Zhanjiang Normal University
疏於防範	疏于防范	shū yú fáng fàn	to neglect to take precautions/relaxed vigilance
示範	示范	shì fàn	to demonstrate/to show how to do sth/demonstration/a model example
不規範	不规范	bù guī fàn	not standard/abnormal/irregular
範例	范例	fàn lì	example/model case
範圍	范围	fàn wéi	range/scope/limit/extent/CL:個|个[gè]
範式	范式	fàn shì	paradigm
範數	范数	fàn shù	norm (math.)
範本	范本	fàn běn	model (example worthy of being imitated)/template
範疇	范畴	fàn chóu	category
範疇論	范畴论	fàn chóu lùn	category theory (math.)
範縣	范县	Fàn xiàn	Fan county in Puyang 濮陽|濮阳[Pú yáng], Henan
華東師範大學	华东师范大学	Huá dōng Shī fàn Dà xué	East China Normal University (ECNU)
規範	规范	guī fàn	norm/standard/specification/regulation/rule/within the rules/to fix rules/to regulate/to specify
規範化	规范化	guī fàn huà	to standardize/standardization
規範性	规范性	guī fàn xìng	normal/standard
規範理論	规范理论	guī fàn lǐ lùn	Standard Model (of particle physics)
設計規範	设计规范	shè jì guī fàn	design norm/planning regulations
貽範古今	贻范古今	yí fàn gǔ jīn	to leave an example for all generations
起模範	起模范	qǐ mó fàn	to set an example
軌範	轨范	guǐ fàn	standard/criterion
閨範	闺范	guī fàn	lady's demeanor/norms expected of women (in former times)
閫範	阃范	kǔn fàn	model of feminine virtues
防範	防范	fáng fàn	to be on guard/wariness/to guard against/preventive
陝西師範大學	陕西师范大学	Shǎn xī Shī fàn Dà xué	Shaanxi Normal University
韓山師範學院	韩山师范学院	Hán shān Shī fàn Xué yuàn	Hanshan Normal University, Shantou, Guangdong
風範	风范	fēng fàn	air/manner/model/paragon/demeanor
