慾	欲	yù	desire/appetite/passion/lust/greed
利慾心	利欲心	lì yù xīn	cupidity
利慾薰心	利欲熏心	lì yù xūn xīn	blinded by greed (idiom)
口腹之慾	口腹之欲	kǒu fù zhī yù	desire for good food
嗜慾	嗜欲	shì yù	lust
性慾	性欲	xìng yù	sexual desire/lust
性慾高潮	性欲高潮	xìng yù gāo cháo	orgasm
情慾	情欲	qíng yù	lust/desire/sensual
利慾	利欲	lì yù	cupidity
慾仙慾死	欲仙欲死	yù xiān yù sǐ	to wish one were dead (idiom)/(fig.) to be in seventh heaven
慾壑難填	欲壑难填	yù hè nán tián	bottomless pit of desire (idiom); insatiable greed/carnal cravings are never satisfied and are a main obstruction on the path to enlightenment
慾望	欲望	yù wàng	desire/longing/appetite/craving
慾火	欲火	yù huǒ	lust
慾火焚身	欲火焚身	yù huǒ fén shēn	burning with desire
權慾薰心	权欲熏心	quán yù xūn xīn	obsessed by a craving for power/power-hungry
求知慾	求知欲	qiú zhī yù	desire for knowledge
洩慾	泄欲	xiè yù	to sate one's lust
洩慾工具	泄欲工具	xiè yù gōng jù	sexual object
淫慾	淫欲	yín yù	lust
物慾世界	物欲世界	wù yù shì jiè	the world of material desires (Buddhism)
獸慾	兽欲	shòu yù	beastly desire
禁慾	禁欲	jìn yù	to suppress desire/self-restraint/asceticism
禁慾主義	禁欲主义	jìn yù zhǔ yì	asceticism
縱慾	纵欲	zòng yù	to indulge in debauchery
肉慾	肉欲	ròu yù	carnal desire
色慾	色欲	sè yù	sexual desire/lust
貪慾	贪欲	tān yù	greed/avarice/rapacious/avid
食慾	食欲	shí yù	appetite
