峽	峡	xiá	gorge
三峽大壩	三峡大坝	Sān xiá Dà bà	Three Gorges Dam on the Yangtze River
三峽水庫	三峡水库	Sān xiá Shuǐ kù	Three Gorges Reservoir on the Changjiang or Yangtze
三峽鎮	三峡镇	Sān xiá zhèn	Sanxia or Sanhsia town in New Taipei City 新北市[Xīn běi shì], Taiwan
三門峽	三门峡	Sān mén xiá	Sanmenxia prefecture level city in Henan
三門峽市	三门峡市	Sān mén xiá shì	Sanmenxia prefecture level city in Henan
加來海峽	加来海峡	Jiā lái Hǎi xiá	Strait of Calais in the English channel/Strait of Dover/Pas-de-Calais, département of France
厄勒海峽	厄勒海峡	È lè Hǎi xiá	Øresund/The Sound (strait between Denmark and Sweden)
台灣海峽	台湾海峡	Tái wān Hǎi xiá	Taiwan Strait
呂宋海峽	吕宋海峡	Lǚ sòng Hǎi xiá	Luzon Strait between Taiwan and Luzon Island (Philippines)
咽峽	咽峡	yān xiá	isthmus of the fauces
咽峽炎	咽峡炎	yān xiá yán	angina/sore throat
墨西拿海峽	墨西拿海峡	Mò xī ná Hǎi xiá	Strait of Messina between Calabria and Sicily
大峽谷	大峡谷	Dà xiá gǔ	great valley/Grand Canyon of Colorado River
奧特朗托海峽	奥特朗托海峡	Ào tè lǎng tuō Hǎi xiá	Strait of Otranto between the heel of Italy and Albania
對馬海峽	对马海峡	Duì mǎ Hǎi xiá	Tsushima Strait, between Japan and South Korea
山峽	山峡	shān xiá	gorge/canyon/mountain valley
三峽	三峡	Sān xiá	Three Gorges on the Chang Jiang or Yangtze, namely: Qutang Gorge 瞿塘峽|瞿塘峡[Qú táng Xiá], Wuxia Gorge 巫峽|巫峡[Wū Xiá] and Xiling Gorge 西陵峽|西陵峡[Xī líng Xiá]/Sanxia or Sanhsia town in New Taipei City 新北市[Xīn běi shì], Taiwan
峽江	峡江	Xiá jiāng	Xiajiang county in Ji'an 吉安[Jí ān], Jiangxi
峽江縣	峡江县	Xiá jiāng xiàn	Xiajiang county in Ji'an 吉安, Jiangxi
峽灣	峡湾	xiá wān	fjord
峽谷	峡谷	xiá gǔ	canyon/gill/ravine
巫峽	巫峡	Wū Xiá	Wuxia Gorge on the Changjiang or Yangtze, the middle of the Three Gorges 三峽|三峡[Sān Xiá]
巴士海峽	巴士海峡	Bā shì Hǎi xiá	Bashi Channel in the northern part of the Luzon Strait, just south of Taiwan
巽他海峽	巽他海峡	Xùn tā Hǎi xiá	Sunda Strait between Sumatra and Java
布里斯托爾海峽	布里斯托尔海峡	Bù lǐ sī tuō ěr Hǎi xiá	Bristol Channel in southwest England
怒江大峽谷	怒江大峡谷	Nù jiāng Dà xiá gǔ	the Grand Canyon of the Nujiang river in Tibet and Yunnan
新海峽時報	新海峡时报	Xīn Hǎi xiá Shí bào	New Strait Times (newspaper)
朝鮮海峽	朝鲜海峡	Cháo xiǎn Hǎi xiá	Korea Strait/Tsushima Strait (between Japan and Korea)
柔佛海峽	柔佛海峡	Róu fó Hǎi xiá	Straits of Johor (between Malaysia and Singapore)
波斯普魯斯海峽	波斯普鲁斯海峡	Bō sī pǔ lǔ sī Hǎi xiá	the Bosphorus (strait)
海峽	海峡	hǎi xiá	channel/strait
海峽交流基金會	海峡交流基金会	Hǎi xiá Jiāo liú Jī jīn huì	Straits Exchange Foundation (SEF)/abbr. to 海基會|海基会[Hǎi jī huì]
海峽兩岸關係協會	海峡两岸关系协会	Hǎi xiá Liǎng àn Guān xi Xié huì	PRC Association for Relations Across the Taiwan Straits (ARATS)
海峽時報	海峡时报	Hǎi xiá Shí bào	The Straits Times
海峽群島	海峡群岛	Hǎi xiá Qún dǎo	Channel Islands
澗峽	涧峡	jiàn xiá	a gorge
瓊州海峽	琼州海峡	Qióng zhōu Hǎi xiá	Qiongzhou Strait (between Hainan Island and mainland China)
白令海峽	白令海峡	Bái lìng Hǎi xiá	the Bering Strait (between Siberia and Alaska)
直布羅陀海峽	直布罗陀海峡	Zhí bù luó tuó Hǎi xiá	Strait of Gibraltar
瞿塘峽	瞿塘峡	Qú táng Xiá	Qutang Gorge, 8 km long gorge on the Changjiang or Yangtze in Chongqing 重慶|重庆[Chóng qìng], the upper of the Three Gorges 三峽|三峡[Sān Xiá]
科羅拉多大峽谷	科罗拉多大峡谷	Kē luó lā duō dà xiá gǔ	the Grand Canyon (Colorado)
花石峽	花石峡	Huā shí xiá	Huashixia town in Madoi county 瑪多縣|玛多县[Mǎ duō xiàn] in Golog Tibetan autonomous prefecture, Qinghai
花石峽鎮	花石峡镇	Huā shí xiá zhèn	Huashixia town in Madoi county 瑪多縣|玛多县[Mǎ duō xiàn] in Golog Tibetan autonomous prefecture, Qinghai
英吉利海峽	英吉利海峡	Yīng jí lì Hǎi xiá	English Channel
虎跳峽	虎跳峡	Hǔ tiào Xiá	Tiger Leaping Gorge on the Jinsha River 金沙江[Jīn shā jiāng] in Lijiang Naxi autonomous county 麗江納西族自治縣|丽江纳西族自治县[Lì jiāng Nà xī zú Zì zhì xiàn], Yunnan
西峽	西峡	Xī xiá	Xixia county in Nanyang 南陽|南阳[Nán yáng], Henan
西峽縣	西峡县	Xī xiá xiàn	Xixia county in Nanyang 南陽|南阳[Nán yáng], Henan
西陵峽	西陵峡	Xī líng Xiá	Xiling Gorge on the Changjiang or Yangtze, the lower of the Three Gorges 三峽|三峡[Sān Xiá]
達達尼爾海峽	达达尼尔海峡	Dá dá ní ěr Hǎi xiá	Dardanelles Strait/Turkish: Çanakkale Boğazı
長江三峽	长江三峡	Cháng Jiāng Sān xiá	Three Gorges or Yangtze Gorges, namely: Qutang Gorge 瞿塘峽|瞿塘峡[Qú táng Xiá], Wuxia Gorge 巫峽|巫峡[Wū Xiá] and Xiling Gorge 西陵峽|西陵峡[Xī líng Xiá]
雅魯藏布大峽谷	雅鲁藏布大峡谷	Yǎ lǔ zàng bù Dà xiá gǔ	Great Canyon of Yarlung Tsangpo-Brahmaputra (through the southeast Himalayas, from Tibet to Assam and Bangladesh)
霍爾木茲海峽	霍尔木兹海峡	Huò ěr mù zī Hǎi xiá	Strait of Hormuz
青銅峽	青铜峡	Qīng tóng xiá	Qingtong county level city in Wuzhong 吳忠|吴忠[Wú zhōng], Ningxia
青銅峽市	青铜峡市	Qīng tóng xiá shì	Qingtong county level city in Wuzhong 吳忠|吴忠[Wú zhōng], Ningxia
韃靼海峽	鞑靼海峡	Dá dá Hǎi xiá	Strait of Tartary between Sakhalin and Russian mainland
馬六甲海峽	马六甲海峡	Mǎ liù jiǎ Hǎi xiá	Strait of Malacca
龍羊峽	龙羊峡	Lóng yáng xiá	Longyangxia canyon on the upper reaches of the Yellow River, Gonghe county 共和縣|共和县[Gòng hé xiàn] in Hainan Tibetan autonomous prefecture, Qinghai
