砲	炮	pào	variant of 炮[pào]
八二三砲戰	八二三炮战	bā èr sān pào zhàn	bombardment of Kinmen by PRC forces that started August 23rd 1958, also called second Taiwan strait crisis
大沽口砲臺	大沽口炮台	Dà gū kǒu pào tái	Taku Forts, maritime defense works in Tianjin dating back to the Ming dynasty, playing a prominent role during the Opium Wars (1839-1860)
大沽砲臺	大沽炮台	Dà gū pào tái	Taku Forts, maritime defense works in Tianjin dating back to the Ming dynasty, playing a prominent role during the Opium Wars (1839-1860)
大砲	大炮	dà pào	big gun/cannon/artillery/one who talks big/trad. form 大炮 also used/CL:門|门[mén],尊[zūn]
小鋼砲	小钢炮	xiǎo gāng pào	(coll.) piece of light artillery such as a mortar/(fig.) person who speaks boldly and frankly/hot hatch (car)/(also used figuratively with various meanings in other contexts)
弩砲	弩炮	nǔ pào	catapult/ballista (siege catapult firing stone blocks)
曲射砲	曲射炮	qū shè pào	curved-fire gun (mortar, howitzer etc)
槍砲	枪炮	qiāng pào	firearm
火砲	火炮	huǒ pào	cannon/gun/artillery
丟輪扯砲	丢轮扯炮	diū lún chě pào	lose a wheel, tear at the gun (idiom); flustered and confused in a panic
砲手	炮手	pào shǒu	gunner/artillery crew
砲擊	炮击	pào jī	to shell/to bombard/bombardment
砲火連天	炮火连天	pào huǒ lián tiān	cannon firing for days on end (idiom); enveloped in the flames of war
砲臺	炮台	pào tái	fort/battery
砲艇	炮艇	pào tǐng	gunboat
砲艦	炮舰	pào jiàn	gunboat/gunship
砲轟	炮轰	pào hōng	to bombard/to bomb/trad. also written 炮轟
砲響	炮响	pào xiǎng	sound of gunfire/fig. news of momentous events
磁軌砲	磁轨炮	cí guǐ pào	railgun
空中砲艦	空中炮舰	kōng zhōng pào jiàn	gunship (aircraft)
虎蹲砲	虎蹲炮	hǔ dūn pào	a short-barreled mortar/an ancient catapult
號砲	号炮	hào pào	cannon used for signaling/signaling shot
連珠砲	连珠炮	lián zhū pào	barrage of gunfire (often used as a metaphor for rapid speech)
重砲	重炮	zhòng pào	heavy artillery
開砲	开炮	kāi pào	to open fire
馬後砲	马后炮	mǎ hòu pào	lit. firing after the horse/fig. belated action/giving advice in hindsight
