薩	萨	Sà	Bodhisattva/surname Sa
伊莉薩白	伊莉萨白	Yī lì sà bái	Elizabeth (name)/also written 伊麗莎白|伊丽莎白
伊薩卡	伊萨卡	Yī sà kǎ	Ithaca, Island state of Greece, the home of Odysseus 奧迪修斯|奥迪修斯/Ithaca NY, location of Cornell University 康奈爾|康奈尔
佛羅倫薩	佛罗伦萨	Fó luó lún sà	Florence, city in Italy
卡薩布蘭卡	卡萨布兰卡	Kǎ sà bù lán kǎ	Casablanca (Morocco's economic capital)
卡薩諾瓦	卡萨诺瓦	Kǎ sà nuò wǎ	Giacomo Casanova (1725-1798), Italian adventurer known for womanizing
吉木薩爾	吉木萨尔	Jí mù sà ěr	Jimsar county or Jimisar nahiyisi in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
吉木薩爾縣	吉木萨尔县	Jí mù sà ěr xiàn	Jimsar county or Jimisar nahiyisi in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
哈薩克	哈萨克	Hā sà kè	Kazakhstan/Kazakh ethnic group in PRC
哈薩克人	哈萨克人	Hā sà kè rén	Kazakh person/Kazakh people
哈薩克文	哈萨克文	Hā sà kè wén	Kazakh written language
哈薩克斯坦	哈萨克斯坦	Hā sà kè sī tǎn	Kazakhstan
哈薩克族	哈萨克族	Hā sà kè zú	Kazakh ethnic group of Xinjiang
哈薩克語	哈萨克语	Hā sà kè yǔ	Kazakh language
哥薩克	哥萨克	Gē sà kè	Cossack (people)
地藏王菩薩	地藏王菩萨	Dì zàng wáng Pú sà	Kṣitigarbha Bodhisattva, the Bodhisattva of the Great Vow (to save all souls before accepting Bodhi)/also translated Earth Treasury, Earth Womb, or Earth Store Bodhisattva
地藏菩薩	地藏菩萨	Dì zàng Pú sà	Kṣitigarbha Bodhisattva, the Bodhisattva of the Great Vow (to save all souls before accepting Bodhi)/also translated Earth Treasury, Earth Womb, or Earth Store Bodhisattva
堪薩斯	堪萨斯	Kān sà sī	Kansas, US state
堪薩斯州	堪萨斯州	Kān sà sī zhōu	Kansas, US state
大勢至菩薩	大势至菩萨	Dà shì zhì Pú sà	Mahasthamaprapta Bodhisattva, the Great Strength Bodhisattva
大願地藏菩薩	大愿地藏菩萨	Dà yuàn Dì zàng Pú sà	Kṣitigarbha Bodhisattva, the Bodhisattva of the Great Vow (to save all souls before accepting Bodhi)/also translated Earth Treasury, Earth Womb, or Earth Store Bodhisattva
奧里薩邦	奥里萨邦	Ào lǐ sà bāng	Odisha (formerly Orissa), eastern Indian state
巴薩	巴萨	Bā sà	Barca (nickname for FC Barcelona)/Baza (town in Grenada, Spain)
巴里坤哈薩克自治縣	巴里坤哈萨克自治县	Bā lǐ kūn Hā sà kè Zì zhì xiàn	Barkol Kazakh autonomous county or Barköl Qazaq aptonom nahiyisi in Kumul prefecture 哈密地區|哈密地区[Hā mì dì qū], Xinjiang
布拉薩市	布拉萨市	Bù lā sà shì	Brazzaville, capital of Congo (Tw)
帕薩特	帕萨特	Pà sà tè	Passat (automobile)
彌勒菩薩	弥勒菩萨	Mí lè Pú sà	Maitreya Bodhisattva
得克薩斯	得克萨斯	Dé kè sà sī	Texas, US state
得克薩斯州	得克萨斯州	Dé kè sà sī zhōu	Texas, US state
德克薩斯	德克萨斯	Dé kè sà sī	Texas
德克薩斯州	德克萨斯州	Dé kè sà sī zhōu	state of Texas
批薩	批萨	pī sà	pizza (loanword)
披薩	披萨	pī sà	pizza (loanword)
拉薩	拉萨	Lā sà	Lhasa, capital city of Tibet autonomous region 西藏自治區|西藏自治区
拉薩市	拉萨市	Lā sà Shì	Lhasa, Tibetan: Lha sa grong khyer, capital of Tibet autonomous region 西藏自治區|西藏自治区[Xī zàng Zì zhì qū]
拉薩條約	拉萨条约	Lā sà Tiáo yuē	Treaty of Lhasa (1904) between British empire and Tibet
摩薩德	摩萨德	Mó sà dé	Mossad
敖德薩	敖德萨	Áo dé sà	Odessa (city in Ukraine)
文殊師利菩薩	文殊师利菩萨	Wén shū shī lì Pú sà	Manjushri, the Bodhisattva of keen awareness
文殊菩薩	文殊菩萨	Wén shū Pú sà	Manjushri, the Bodhisattva of keen awareness
文萊達魯薩蘭國	文莱达鲁萨兰国	Wén lái Dá lǔ sà lán guó	Brunei Darussalam
普賢菩薩	普贤菩萨	Pǔ xián Pú sà	Samantabhadra, the Buddhist Lord of Truth
木壘哈薩克自治縣	木垒哈萨克自治县	Mù lěi Hā sà kè Zì zhì xiàn	Mori Kazakh autonomous county or Mori Qazaq aptonom nahiyisi in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
柯薩奇病毒	柯萨奇病毒	Kē sà qí bìng dú	Coxsachie A intestinal virus
格薩爾	格萨尔	Gé sà ěr	King Gesar, hero of a Tibetan and Mongolian epic cycle
梅薩林	梅萨林	méi sà lín	muslin or mousseline silk fabric
比薩	比萨	Bǐ sà	Pisa, town in Toscana, Italy
比薩	比萨	bǐ sà	pizza (loanword)
