諾	诺	nuò	to consent/to promise/(literary) yes!
一諾千金	一诺千金	yī nuò qiān jīn	a promise worth one thousand in gold (idiom); a promise that must be kept
伊利諾	伊利诺	Yī lì nuò	Illinois, US state
伊利諾伊	伊利诺伊	Yī lì nuò yī	Illinois, US state
伊利諾伊州	伊利诺伊州	Yī lì nuò yī zhōu	Illinois, US state
伊利諾州	伊利诺州	Yī lì nuò zhōu	Illinois, US state
優諾牌	优诺牌	Yōu nuò pái	Uno (card game)
允諾	允诺	yǔn nuò	to promise/to consent (to do sth)
克拉斯諾亞爾斯克	克拉斯诺亚尔斯克	Kè lā sī nuò yà ěr sī kè	Krasnoyarsk
克拉斯諾達爾	克拉斯诺达尔	kè lā sī nuò dá ěr	Krasnodar (city in Russia)
克拉斯金諾	克拉斯金诺	Kè lā sī jīn nuò	Kraskino town in Primorsky Krai, Russia, close to the North Korean border
克羅諾斯	克罗诺斯	Kè luó nuò sī	Cronus (Titan of Greek mythology)
切爾諾貝利	切尔诺贝利	Qiē ěr nuò bèi lì	Chernobyl
千金一諾	千金一诺	qiān jīn yī nuò	a promise worth one thousand in gold (idiom); a promise that must be kept
卡布其諾	卡布其诺	kǎ bù qí nuò	cappuccino (loanword)
卡布其諾咖啡	卡布其诺咖啡	kǎ bù qí nuò kā fēi	cappuccino coffee
卡布奇諾	卡布奇诺	kǎ bù qí nuò	cappuccino (loanword)
卡薩諾瓦	卡萨诺瓦	Kǎ sà nuò wǎ	Giacomo Casanova (1725-1798), Italian adventurer known for womanizing
厄爾尼諾	厄尔尼诺	È ěr Ní nuò	El Niño, equatorial climate variation in the Pacific
厄爾尼諾現象	厄尔尼诺现象	è ěr ní nuò xiàn xiàng	El Niño effect, equatorial climatic variation over the Pacific Ocean
古諾	古诺	Gǔ nuò	Gounod (name)/Charles Gounod (1818-1893), French musician and opera composer
呀諾達	呀诺达	Yā nuò dá	Yanoda, a rainforest in southern Hainan
唯唯諾諾	唯唯诺诺	wěi wěi nuò nuò	to be a yes-man
喹諾酮	喹诺酮	kuí nuò tóng	quinolone (a hydroxylated quinoline, inhibiting the replication of bacterial DNA)
埃德加·斯諾	埃德加·斯诺	Āi dé jiā · Sī nuò	Edgar Snow (1905-1972), American journalist, reported from China 1928-1941, author of Red Star Over China
基諾族	基诺族	Jī nuò zú	Jinuo ethnic group
塞韋里諾	塞韦里诺	Sài wéi lǐ nuò	(Jean-Michel) Severino, CEO of the Agence Française de Développement (AFD)
夙諾	夙诺	sù nuò	old promise/long-standing commitment
多米諾	多米诺	duō mǐ nuò	domino (loanword)
多米諾骨牌	多米诺骨牌	duō mǐ nuò gǔ pái	dominoes
奧切諾斯	奥切诺斯	Ào qiē nuò sī	Oceanus, a Titan in Greek mythology
季諾	季诺	jì nuò	a promise that can be realized
季黎諾	季黎诺	Jì lí nuò	Quirinius, governor of Syria (c. 51 BC - AD 21)
宿諾	宿诺	sù nuò	old promises/unfulfilled promises
布宜諾斯艾利斯	布宜诺斯艾利斯	Bù yí nuò sī Ài lì sī	Buenos Aires, capital of Argentina
布爾諾	布尔诺	Bù ěr nuò	Brno, city in Czech Republic
弗洛倫蒂諾·佩雷斯	弗洛伦蒂诺·佩雷斯	Fú luò lún dì nuò · Pèi léi sī	Florentino Pérez (1947-), Spanish businessman and president of Real Madrid football club
恰亞諾夫	恰亚诺夫	Qià yà nuò fū	Alexander Chayanov (1888-1937), Soviet agrarian economist
應諾	应诺	yìng nuò	to promise/to agree to do sth
承諾	承诺	chéng nuò	to promise/to undertake to do something/commitment
拉赫曼尼諾夫	拉赫曼尼诺夫	Lā hè màn ní nuò fū	Rachmaninoff or Rachmaninov (name)/Sergei Rachmaninoff (1873-1943), Russian composer and pianist
斯特凡諾普洛斯	斯特凡诺普洛斯	Sī tè fán nuò pǔ luò sī	Stephanopoulos (e.g. former Clinton aide George Stephanopoulos)
斯諾	斯诺	Sī nuò	Snow (name)/Edgar Snow (1905-1972), American journalist, reported from China 1928-1941, author of Red Star Over China
斯諾克	斯诺克	sī nuò kè	snooker (loanword)
斯諾登	斯诺登	Sī nuò dēng	Edward Snowden (1983-), American surveillance program whistleblower
斯賓諾莎	斯宾诺莎	Sī bīn nuò shā	Baruch or Benedict Spinoza (1632-1677), rationalist philosopher
昆汀·塔倫提諾	昆汀·塔伦提诺	Kūn tīng · Tǎ lún tí nuò	Quentin Tarantino (1963-), American film director
昆汀·塔倫蒂諾	昆汀·塔伦蒂诺	Kūn tīng · Tǎ lún dì nuò	Quentin Tarantino (1963-), American film director
普羅提諾	普罗提诺	Pǔ luó tí nuò	Plotinus (204-270), Neoplatonism philosopher
朱諾	朱诺	Zhū nuò	Juneau, capital of Alaska/Juno, Roman goddess of marriage
查克·諾里斯	查克·诺里斯	Chá kè · Nuò lǐ sī	Chuck Norris (1940-), American martial artist and actor
格勒諾布爾	格勒诺布尔	Gé lè nuò bù ěr	Grenoble (French town)
桑地諾民族解放陣線	桑地诺民族解放阵线	Sāng dì nuò Mín zú Jiě fàng Zhèn xiàn	Sandinista National Liberation Front
漢諾威	汉诺威	Hàn nuò wēi	Hanover
灰皮諾	灰皮诺	Huī pí nuò	Pinot gris (grape type)/Pinot grigio
狄奧多·阿多諾	狄奥多·阿多诺	Dí ào duō · Ā duō nuò	Theodor Ludwig Wiesengrund Adorno (1903-1969), German sociologist, philosopher, musicologist, and composer
皮諾切特	皮诺切特	Pí nuò qiē tè	General Augusto Pinochet (1915-2006), Chilean dictator
禧瑪諾	禧玛诺	Xǐ mǎ nuò	Shimano (brand)
米諾安	米诺安	Mǐ nuò ān	Minoan (civilization on Crete)
羅夫諾	罗夫诺	Luō fū nuò	Rivne (or Rovno), city in western Ukraine/Rivne (Oblast)
羅摩諾索夫	罗摩诺索夫	Luó mó nuò suǒ fū	Mikhail Vasilyevich Lomonosov (1711-1765), famous Russian chemist and polymath
羅摩諾索夫山脊	罗摩诺索夫山脊	Luó mó nuò suǒ fū shān jǐ	Lomonosov ridge (in the Artic Ocean)
羅曼諾	罗曼诺	Luó màn nuò	Romano (name)
羅蒙諾索夫	罗蒙诺索夫	Luó méng nuò suǒ fū	Mikhail Lomonosov (1711-1765), Russian polymath and writer
羅馬諾	罗马诺	Luó mǎ nuò	Romano (name)
聖馬利諾	圣马利诺	Shèng Mǎ lì nuò	San Marino (Tw)
聖馬力諾	圣马力诺	Shèng mǎ lì nuò	San Marino
薩哈諾夫	萨哈诺夫	sà hǎ nuò fū	(Andrei) Sakharov
薩哈諾夫人權獎	萨哈诺夫人权奖	sà hǎ nuò fū rén quán jiǎng	the EU Sakharov prize for human rights
許諾	许诺	xǔ nuò	promise/pledge
一呼百諾	一呼百诺	yī hū bǎi nuò	one command brings a hundred responses (idiom); having hundreds of attendants at one's beck and call
諾丁漢	诺丁汉	Nuò dīng hàn	Nottingham (city in England)
諾丁漢郡	诺丁汉郡	Nuò dīng hàn jùn	Nottinghamshire (English county)
諾亞	诺亚	Nuò yà	Noah
諾伊曼	诺伊曼	Nuò yī màn	Neumann (surname)/John von Neumann (1903-1957), Hungarian-born American mathematician and polymath
諾克少	诺克少	Nuò kè shǎo	Nouakchott, capital of Mauritania (Tw)
諾基亞	诺基亚	Nuò jī yà	Nokia (company name)
諾塞斯	诺塞斯	nuò sāi sī	Knossos (Minoan palace at Iraklion, Crete)
諾夫哥羅德	诺夫哥罗德	Nuò fū gē luó dé	Novgorod, city in Russia
諾如病毒	诺如病毒	nuò rú bìng dú	norovirus
諾姆·喬姆斯基	诺姆·乔姆斯基	Nuò mǔ · Qiáo mǔ sī jī	Noam Chomsky (American linguist and political activist)
諾曼人	诺曼人	Nuò màn rén	Normans (people)
諾曼底	诺曼底	Nuò màn dǐ	Normandy, France
諾曼底人	诺曼底人	nuò màn dǐ rén	Norman (people)
諾曼底半島	诺曼底半岛	Nuò màn dǐ Bàn dǎo	Normandy peninsula
諾曼征服	诺曼征服	Nuò màn Zhēng fú	the Norman conquest of England (1066)
諾曼第	诺曼第	Nuò màn dì	Normandy, France
諾格	诺格	Nuò gé	Northrop Grumman (aerospace arm of Boeing)
諾特	诺特	Nuò tè	Noether (name)/Emmy Noether (1882-1935), famous German female algebraist/Noetherian (math.)
諾獎	诺奖	Nuò jiǎng	Nobel Prize/abbr. for 諾貝爾獎|诺贝尔奖[Nuò bèi ěr Jiǎng]
諾矩羅	诺矩罗	Nuò jǔ luó	Nuojuluo, monk at start of Tang dynasty, possibly originally immigrant, lived in Qingshen county 青神[Qīng shén], Sichuan
諾福克島	诺福克岛	Nuò fú kè Dǎo	Norfolk Island
諾羅病毒	诺罗病毒	nuò luó bìng dú	norovirus (Tw)
諾美克斯	诺美克斯	Nuò měi kè sī	Nomex (brand)
諾言	诺言	nuò yán	promise
諾貝爾	诺贝尔	Nuò bèi ěr	Nobel (Prize)
諾貝爾和平獎	诺贝尔和平奖	Nuò bèi ěr Hé píng jiǎng	Nobel Peace Prize
諾貝爾文學獎	诺贝尔文学奖	Nuò bèi ěr Wén xué Jiǎng	Nobel Prize in Literature
諾貝爾物理學獎	诺贝尔物理学奖	Nuò bèi ěr Wù lǐ xué Jiǎng	Nobel Prize in Physics
諾貝爾獎	诺贝尔奖	Nuò bèi ěr Jiǎng	Nobel Prize
諾魯	诺鲁	Nuò lǔ	Nauru, island country in the southwestern Pacific (Tw)
阿多諾	阿多诺	Ā duō nuò	surname Adorno/Theodor Ludwig Wiesengrund Adorno 狄奧多·阿多諾|狄奥多·阿多诺[Dí ào duō · Ā duō nuò] (1903-1969), German sociologist, philosopher, musicologist, and composer
阿諾	阿诺	Ā nuò	Arnold (name)/refers to Arnold Schwarzenegger 阿諾·施瓦辛格|阿诺·施瓦辛格[Ā nuò · Shī wǎ xīn gé]
阿諾·施瓦辛格	阿诺·施瓦辛格	Ā nuò · Shī wǎ xīn gé	Arnold Schwarzenegger (1947-), US actor and politician, governor of California 2003-2011/also written 阿諾德·施瓦辛格|阿诺德·施瓦辛格[Ā nuò dé · Shī wǎ xīn gé]
阿諾德·施瓦辛格	阿诺德·施瓦辛格	Ā nuò dé · Shī wǎ xīn gé	Arnold Schwarzenegger (1947-), US actor and politician, governor of California 2003-2011
雅諾什	雅诺什	Yǎ nuò shí	János (Hungarian name)
雷·羅馬諾	雷·罗马诺	Léi · Luó mǎ nuò	Ray Romano (1957-), US actor and comedian
雷諾	雷诺	Léi nuò	Reynolds (name)/Renault (French car company)/Reno, Nevada
雷諾數	雷诺数	Léi nuò shù	Reynolds number (ratio of inertial forces to viscous forces in fluid mechanics)
雷諾阿	雷诺阿	Léi nuò ā	Renoir (name)/Pierre-Auguste Renoir (1841-1919), French impressionist painter
領諾	领诺	lǐng nuò	consent
魯米諾	鲁米诺	lǔ mǐ nuò	luminol (chemistry) (loanword)
黑比諾	黑比诺	Hēi bǐ nuò	Pinot noir (grape type)
黑皮諾	黑皮诺	Hēi pí nuò	Pinot noir (grape type)
